,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Brooklyn Nets,Philadelphia 76ers,21,32,39,13,36,25,39,34,09.04. 18:00
1,Brooklyn Nets,Orlando Magic,27,31,20,23,23,16,23,22,08.04. 00:30
2,Detroit Pistons,Brooklyn Nets,34,23,33,18,47,27,22,27,06.04. 00:00
3,Brooklyn Nets,Minnesota Timberwolves,24,30,24,24,31,20,26,30,05.04. 00:30
4,Brooklyn Nets,Utah Jazz,30,23,32,26,17,25,26,42,02.04. 20:30
5,Brooklyn Nets,Atlanta Hawks,25,34,42,23,33,22,24,28,01.04. 00:30
6,Brooklyn Nets,Houston Rockets,30,24,32,37,25,30,32,27,30.03. 00:30
7,Orlando Magic,Brooklyn Nets,24,36,32,27,25,26,23,32,26.03. 23:00
8,Miami Heat,Brooklyn Nets,36,33,18,13,28,37,39,25,26.03. 01:00
9,Brooklyn Nets,Cleveland Cavaliers,33,28,30,23,31,29,25,31,24.03. 00:30
10,Brooklyn Nets,Cleveland Cavaliers,30,25,23,31,23,38,33,21,22.03. 00:30
11,Brooklyn Nets,Denver Nuggets,21,27,23,31,33,30,28,17,19.03. 20:30
12,Brooklyn Nets,Sacramento Kings,24,17,30,25,24,30,28,19,17.03. 00:30
13,Oklahoma City Thunder,Brooklyn Nets,24,28,38,31,33,29,20,25,15.03. 01:00
14,Denver Nuggets,Brooklyn Nets,30,39,18,33,30,31,37,24,12.03. 20:30
15,Minnesota Timberwolves,Brooklyn Nets,33,35,20,26,26,34,37,17,"11.03. 02:00
AOT"
16,Milwaukee Bucks,Brooklyn Nets,37,27,23,31,20,27,33,33,10.03. 02:00
17,Houston Rockets,Brooklyn Nets,32,22,24,18,27,32,33,26,08.03. 02:00
18,Brooklyn Nets,Charlotte Hornets,36,34,16,16,21,20,21,24,06.03. 00:00
19,Boston Celtics,Brooklyn Nets,37,27,20,21,15,40,34,26,04.03. 01:30
