,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Toronto Raptors,Milwaukee Bucks,35,32,28,26,26,29,24,26,09.04. 18:00
1,Milwaukee Bucks,Memphis Grizzlies,31,41,15,27,36,35,37,29,08.04. 01:00
2,Milwaukee Bucks,Chicago Bulls,28,21,30,26,21,30,25,16,06.04. 00:30
3,Washington Wizards,Milwaukee Bucks,29,33,35,31,32,43,39,26,05.04. 00:00
4,Milwaukee Bucks,Philadelphia 76ers,41,28,27,21,26,27,29,22,03.04. 01:00
5,Milwaukee Bucks,Boston Celtics,26,21,27,25,34,41,39,26,31.03. 00:30
6,Indiana Pacers,Milwaukee Bucks,30,39,38,29,34,39,46,30,30.03. 00:00
7,Detroit Pistons,Milwaukee Bucks,27,24,39,27,31,26,37,32,28.03. 00:00
8,Denver Nuggets,Milwaukee Bucks,37,26,34,32,38,28,19,21,26.03. 02:00
9,Utah Jazz,Milwaukee Bucks,25,33,27,31,40,32,43,29,25.03. 02:00
10,Milwaukee Bucks,San Antonio Spurs,33,33,34,30,28,23,21,22,23.03. 01:00
11,Milwaukee Bucks,Toronto Raptors,33,25,31,29,29,27,39,16,20.03. 01:00
12,Milwaukee Bucks,Indiana Pacers,40,24,37,22,30,25,49,35,17.03. 01:00
13,Phoenix Suns,Milwaukee Bucks,24,24,36,20,29,28,28,31,15.03. 03:00
14,Sacramento Kings,Milwaukee Bucks,32,30,25,37,27,26,37,43,14.03. 03:00
15,Golden State Warriors,Milwaukee Bucks,28,22,30,31,26,23,28,34,"12.03. 02:30
AOT"
16,Milwaukee Bucks,Brooklyn Nets,37,27,23,31,20,27,33,33,10.03. 02:00
17,Orlando Magic,Milwaukee Bucks,26,34,32,31,36,34,32,32,08.03. 01:00
18,Washington Wizards,Milwaukee Bucks,28,20,32,31,34,25,24,34,06.03. 01:30
19,Milwaukee Bucks,Philadelphia 76ers,29,30,40,31,29,24,32,48,05.03. 02:30
20,Milwaukee Bucks,Orlando Magic,31,45,32,31,29,37,30,21,02.03. 02:00
21,Brooklyn Nets,Milwaukee Bucks,34,28,23,19,22,30,39,27,01.03. 01:30
22,Milwaukee Bucks,Phoenix Suns,33,20,22,29,26,20,28,27,26.02. 19:00
23,Milwaukee Bucks,Miami Heat,42,31,22,33,32,24,18,25,25.02. 01:30
24,Chicago Bulls,Milwaukee Bucks,24,25,24,27,34,27,24,27,17.02. 01:30
25,Milwaukee Bucks,Boston Celtics,27,37,26,26,35,28,32,21,"15.02. 01:30
AOT"
26,Los Angeles Clippers,Milwaukee Bucks,27,24,25,30,22,32,27,38,11.02. 04:30
27,Los Angeles Lakers,Milwaukee Bucks,31,27,23,25,26,24,38,27,10.02. 04:00
28,Portland Trail Blazers,Milwaukee Bucks,22,26,23,37,30,28,37,32,07.02. 04:00
29,Milwaukee Bucks,Miami Heat,34,28,32,29,26,36,30,23,05.02. 02:00
30,Milwaukee Bucks,Los Angeles Clippers,15,34,29,28,24,32,31,18,03.02. 04:00
31,Milwaukee Bucks,Charlotte Hornets,34,30,33,27,27,37,26,25,01.02. 02:00
32,Milwaukee Bucks,New Orleans Pelicans,37,25,44,29,19,25,44,22,30.01. 02:00
33,Indiana Pacers,Milwaukee Bucks,30,26,43,32,45,40,29,27,28.01. 01:00
34,Milwaukee Bucks,Denver Nuggets,26,32,23,26,27,26,20,26,26.01. 02:00
35,Detroit Pistons,Milwaukee Bucks,24,31,37,38,49,34,32,35,24.01. 01:00
36,Cleveland Cavaliers,Milwaukee Bucks,23,27,36,28,26,21,34,21,22.01. 01:30
37,Milwaukee Bucks,Toronto Raptors,44,23,38,25,34,40,23,25,18.01. 01:30
38,Milwaukee Bucks,Indiana Pacers,32,33,28,39,38,38,22,21,16.01. 20:30
39,Miami Heat,Milwaukee Bucks,28,25,24,34,20,25,26,24,14.01. 19:00
40,Miami Heat,Milwaukee Bucks,14,31,33,30,23,22,28,29,13.01. 01:30
41,Atlanta Hawks,Milwaukee Bucks,19,27,36,23,39,28,22,25,12.01. 01:30
42,New York Knicks,Milwaukee Bucks,22,29,27,29,22,24,27,38,10.01. 01:30
43,Milwaukee Bucks,Charlotte Hornets,28,32,27,22,51,33,28,26,07.01. 02:00
44,Toronto Raptors,Milwaukee Bucks,12,26,21,38,13,26,24,34,"05.01. 01:30
AOT"
45,Milwaukee Bucks,Washington Wizards,32,29,29,33,28,21,36,28,04.01. 02:00
46,Milwaukee Bucks,Washington Wizards,17,33,20,25,34,34,20,30,02.01. 02:00
47,Milwaukee Bucks,Minnesota Timberwolves,33,17,39,34,34,27,22,31,31.12.2022
48,Chicago Bulls,Milwaukee Bucks,28,29,22,27,32,23,27,24,"29.12.2022
AOT"
49,Boston Celtics,Milwaukee Bucks,36,26,38,39,28,33,25,32,25.12.2022
50,Brooklyn Nets,Milwaukee Bucks,36,24,25,33,29,18,28,25,24.12.2022
