,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Boston Celtics,Atlanta Hawks,29,32,39,20,31,33,26,24,09.04. 18:00
1,Boston Celtics,Toronto Raptors,34,34,27,26,16,24,33,29,08.04. 00:30
2,Boston Celtics,Toronto Raptors,31,25,23,18,28,16,28,21,06.04. 00:30
3,Philadelphia 76ers,Boston Celtics,28,25,19,31,22,24,21,34,05.04. 01:00
4,Boston Celtics,Utah Jazz,27,30,36,29,29,22,27,36,01.04. 00:30
5,Milwaukee Bucks,Boston Celtics,26,21,27,25,34,41,39,26,31.03. 00:30
6,Washington Wizards,Boston Celtics,29,35,35,31,23,28,27,33,29.03. 00:00
7,Boston Celtics,San Antonio Spurs,30,38,28,41,32,26,19,16,26.03. 23:00
8,Boston Celtics,Indiana Pacers,34,26,32,28,32,23,21,19,25.03. 00:00
9,Sacramento Kings,Boston Celtics,32,22,31,24,30,30,40,32,22.03. 03:00
10,Utah Jazz,Boston Celtics,24,33,31,30,34,30,27,26,19.03. 02:00
11,Portland Trail Blazers,Boston Celtics,24,24,22,42,32,31,26,37,18.03. 03:10
12,Minnesota Timberwolves,Boston Celtics,23,20,28,31,23,21,33,27,16.03. 01:00
13,Houston Rockets,Boston Celtics,31,31,23,26,29,26,25,29,14.03. 01:00
14,Atlanta Hawks,Boston Celtics,38,23,28,36,37,34,30,33,12.03. 01:30
15,Boston Celtics,Portland Trail Blazers,35,25,34,21,28,17,27,21,09.03. 01:30
16,Cleveland Cavaliers,Boston Celtics,26,30,22,31,33,35,24,17,"07.03. 01:00
AOT"
17,Boston Celtics,New York Knicks,34,27,26,26,31,23,34,25,"06.03. 01:30
AOT"
18,Boston Celtics,Brooklyn Nets,37,27,20,21,15,40,34,26,04.03. 01:30
19,Boston Celtics,Cleveland Cavaliers,26,29,41,21,28,24,26,35,02.03. 01:30
20,New York Knicks,Boston Celtics,27,33,28,21,15,31,29,19,28.02. 01:30
21,Philadelphia 76ers,Boston Celtics,30,26,22,29,28,22,30,30,26.02. 02:30
22,Indiana Pacers,Boston Celtics,31,27,39,28,34,34,32,25,"24.02. 01:00
AOT"
23,Boston Celtics,Detroit Pistons,31,35,31,30,26,25,38,20,16.02. 01:30
