,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Chicago Bulls,Detroit Pistons,26,23,18,36,25,21,18,17,09.04. 18:00
1,Dallas Mavericks,Chicago Bulls,29,38,24,21,26,28,31,30,08.04. 01:30
2,Milwaukee Bucks,Chicago Bulls,28,21,30,26,21,30,25,16,06.04. 00:30
3,Chicago Bulls,Atlanta Hawks,26,27,27,25,36,29,25,33,05.04. 01:00
4,Chicago Bulls,Memphis Grizzlies,25,28,40,35,36,32,16,23,02.04. 20:30
5,Charlotte Hornets,Chicago Bulls,23,23,31,14,31,31,28,31,01.04. 00:00
6,Chicago Bulls,Los Angeles Lakers,20,31,25,34,31,28,26,36,30.03. 01:00
7,Los Angeles Clippers,Chicago Bulls,27,35,37,25,32,23,22,35,28.03. 03:30
8,Los Angeles Lakers,Chicago Bulls,26,29,23,30,29,34,28,27,26.03. 20:30
9,Portland Trail Blazers,Chicago Bulls,26,19,27,24,26,35,33,30,25.03. 03:00
10,Chicago Bulls,Philadelphia 76ers,23,25,28,15,36,40,20,20,23.03. 01:00
11,Philadelphia 76ers,Chicago Bulls,22,18,28,23,17,27,25,22,"21.03. 00:00
AOT"
12,Chicago Bulls,Miami Heat,33,37,20,23,19,26,32,22,19.03. 01:00
13,Chicago Bulls,Minnesota Timberwolves,28,26,26,33,32,27,31,23,"18.03. 01:00
AOT"
14,Chicago Bulls,Sacramento Kings,30,28,22,34,25,23,37,32,16.03. 01:00
15,Houston Rockets,Chicago Bulls,32,23,40,16,22,32,33,32,12.03. 02:00
16,Denver Nuggets,Chicago Bulls,29,23,24,20,25,26,36,30,09.03. 03:00
17,Chicago Bulls,Indiana Pacers,35,25,29,33,30,37,28,30,05.03. 21:30
18,Chicago Bulls,Phoenix Suns,29,35,21,19,40,20,34,31,04.03. 02:00
19,Detroit Pistons,Chicago Bulls,36,18,32,29,38,31,32,16,02.03. 01:00
20,Toronto Raptors,Chicago Bulls,24,20,26,34,23,23,26,26,01.03. 01:30
21,Chicago Bulls,Washington Wizards,25,22,27,28,27,18,22,15,26.02. 21:30
22,Chicago Bulls,Brooklyn Nets,33,30,34,34,18,11,22,36,25.02. 02:00
23,Chicago Bulls,Milwaukee Bucks,24,25,24,27,34,27,24,27,17.02. 01:30
24,Indiana Pacers,Chicago Bulls,15,27,40,35,39,19,28,27,16.02. 01:00
25,Chicago Bulls,Orlando Magic,21,23,24,23,25,24,27,24,14.02. 02:00
26,Cleveland Cavaliers,Chicago Bulls,26,14,29,28,29,20,25,15,12.02. 02:00
27,Brooklyn Nets,Chicago Bulls,19,34,26,37,26,24,34,21,10.02. 01:30
28,Memphis Grizzlies,Chicago Bulls,26,23,23,32,14,25,36,14,08.02. 02:00
29,Chicago Bulls,San Antonio Spurs,39,23,28,38,28,31,26,19,07.02. 02:00
30,Chicago Bulls,Portland Trail Blazers,34,25,33,37,27,43,17,34,05.02. 02:00
