,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Oklahoma City Thunder,Memphis Grizzlies,20,27,38,30,24,25,24,27,09.04. 20:30
1,Utah Jazz,Oklahoma City Thunder,25,27,24,22,32,23,29,30,07.04. 02:00
2,Golden State Warriors,Oklahoma City Thunder,36,33,33,34,39,40,27,19,05.04. 03:00
3,Oklahoma City Thunder,Phoenix Suns,27,28,34,29,27,42,29,30,03.04. 00:00
4,Indiana Pacers,Oklahoma City Thunder,36,29,25,31,32,29,33,23,01.04. 00:00
5,Oklahoma City Thunder,Detroit Pistons,26,28,30,23,26,30,24,26,30.03. 01:00
6,Oklahoma City Thunder,Charlotte Hornets,23,45,31,35,26,31,36,44,29.03. 01:00
7,Portland Trail Blazers,Oklahoma City Thunder,37,25,32,18,25,43,28,22,27.03. 00:00
8,Los Angeles Lakers,Oklahoma City Thunder,41,33,19,23,25,41,26,19,25.03. 03:30
9,Los Angeles Clippers,Oklahoma City Thunder,36,18,38,35,29,25,26,25,24.03. 03:30
10,Los Angeles Clippers,Oklahoma City Thunder,22,29,30,19,23,33,24,21,22.03. 03:30
11,Oklahoma City Thunder,Phoenix Suns,25,32,33,34,31,38,27,24,19.03. 20:30
12,Toronto Raptors,Oklahoma City Thunder,29,35,29,35,28,31,28,24,17.03. 00:30
13,Oklahoma City Thunder,Brooklyn Nets,24,28,38,31,33,29,20,25,15.03. 01:00
14,San Antonio Spurs,Oklahoma City Thunder,19,28,24,19,29,23,26,24,13.03. 00:00
15,New Orleans Pelicans,Oklahoma City Thunder,22,22,28,24,32,31,24,23,12.03. 02:30
16,Phoenix Suns,Oklahoma City Thunder,34,26,44,28,21,31,28,21,09.03. 03:00
17,Oklahoma City Thunder,Golden State Warriors,40,28,37,32,30,34,35,29,08.03. 02:00
18,Oklahoma City Thunder,Utah Jazz,35,35,31,28,20,31,33,35,06.03. 01:00
19,Oklahoma City Thunder,Utah Jazz,34,33,30,33,29,23,32,19,04.03. 02:00
