,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Cleveland Cavaliers,Charlotte Hornets,25,29,21,20,17,32,21,36,09.04. 18:00
1,Orlando Magic,Cleveland Cavaliers,42,15,16,21,33,34,28,23,07.04. 00:00
2,Orlando Magic,Cleveland Cavaliers,29,30,32,22,23,35,35,24,05.04. 00:00
3,Cleveland Cavaliers,Indiana Pacers,28,31,27,29,28,33,26,18,03.04. 01:00
4,Cleveland Cavaliers,New York Knicks,47,25,30,14,42,37,26,25,01.04. 00:30
5,Atlanta Hawks,Cleveland Cavaliers,24,35,35,26,24,27,33,34,29.03. 00:30
6,Cleveland Cavaliers,Houston Rockets,33,27,25,23,22,21,37,11,26.03. 23:00
7,Brooklyn Nets,Cleveland Cavaliers,33,28,30,23,31,29,25,31,24.03. 00:30
8,Brooklyn Nets,Cleveland Cavaliers,30,25,23,31,23,38,33,21,22.03. 00:30
9,Cleveland Cavaliers,Washington Wizards,31,30,23,33,24,20,30,20,18.03. 00:30
10,Cleveland Cavaliers,Philadelphia 76ers,24,36,23,26,29,26,29,34,16.03. 00:30
11,Charlotte Hornets,Cleveland Cavaliers,27,21,28,28,30,33,35,22,15.03. 00:00
12,Charlotte Hornets,Cleveland Cavaliers,35,24,30,19,25,27,29,33,12.03. 22:00
13,Miami Heat,Cleveland Cavaliers,27,23,32,37,26,33,30,26,11.03. 02:00
14,Miami Heat,Cleveland Cavaliers,30,23,29,18,26,31,30,17,09.03. 01:30
15,Cleveland Cavaliers,Boston Celtics,26,30,22,31,33,35,24,17,"07.03. 01:00
AOT"
16,Cleveland Cavaliers,Detroit Pistons,24,30,42,18,21,24,22,23,05.03. 01:30
17,Boston Celtics,Cleveland Cavaliers,26,29,41,21,28,24,26,35,02.03. 01:30
18,Cleveland Cavaliers,Toronto Raptors,34,30,28,26,28,24,24,17,27.02. 00:00
19,Atlanta Hawks,Cleveland Cavaliers,32,49,27,28,23,34,26,36,25.02. 01:30
20,Cleveland Cavaliers,Denver Nuggets,26,31,34,18,31,25,33,26,24.02. 01:00
21,Philadelphia 76ers,Cleveland Cavaliers,38,25,24,31,24,14,32,42,16.02. 01:30
22,Cleveland Cavaliers,San Antonio Spurs,34,31,26,26,19,30,32,28,14.02. 01:00
23,Cleveland Cavaliers,Chicago Bulls,26,14,29,28,29,20,25,15,12.02. 02:00
24,New Orleans Pelicans,Cleveland Cavaliers,28,28,26,25,38,35,28,17,11.02. 04:00
25,Cleveland Cavaliers,Detroit Pistons,32,19,25,37,14,26,28,17,09.02. 01:00
26,Washington Wizards,Cleveland Cavaliers,25,21,26,19,37,29,30,18,07.02. 01:00
27,Indiana Pacers,Cleveland Cavaliers,25,21,38,19,27,35,36,24,05.02. 23:00
28,Cleveland Cavaliers,Memphis Grizzlies,30,37,32,29,26,28,33,26,03.02. 01:30
29,Cleveland Cavaliers,Miami Heat,26,26,27,18,24,31,24,21,01.02. 01:00
30,Cleveland Cavaliers,Los Angeles Clippers,31,33,25,33,15,19,23,42,30.01. 01:00
31,Oklahoma City Thunder,Cleveland Cavaliers,27,20,31,34,25,29,24,22,28.01. 02:00
32,Houston Rockets,Cleveland Cavaliers,25,23,26,21,37,37,23,16,27.01. 02:00
33,New York Knicks,Cleveland Cavaliers,34,19,27,25,27,24,24,28,25.01. 01:30
34,Cleveland Cavaliers,Milwaukee Bucks,23,27,36,28,26,21,34,21,22.01. 01:30
35,Cleveland Cavaliers,Golden State Warriors,28,31,27,28,33,31,34,22,21.01. 01:30
36,Memphis Grizzlies,Cleveland Cavaliers,31,37,21,26,30,31,30,23,19.01. 02:00
37,Cleveland Cavaliers,New Orleans Pelicans,24,23,31,35,25,25,31,22,16.01. 21:00
38,Minnesota Timberwolves,Cleveland Cavaliers,27,22,28,33,25,29,26,22,15.01. 02:00
39,Portland Trail Blazers,Cleveland Cavaliers,32,26,33,22,27,24,36,32,13.01. 04:00
40,Utah Jazz,Cleveland Cavaliers,31,24,33,28,24,31,29,30,11.01. 03:00
41,Phoenix Suns,Cleveland Cavaliers,26,28,25,19,35,22,23,32,09.01. 02:00
42,Denver Nuggets,Cleveland Cavaliers,26,36,32,27,28,30,24,26,07.01. 03:00
43,Cleveland Cavaliers,Phoenix Suns,15,18,26,31,14,29,21,24,05.01. 01:00
44,Cleveland Cavaliers,Chicago Bulls,27,20,44,39,34,31,31,34,"03.01. 01:00
AOT"
45,Chicago Bulls,Cleveland Cavaliers,30,25,22,25,28,32,24,19,01.01. 01:00
46,Indiana Pacers,Cleveland Cavaliers,29,35,35,36,34,34,28,30,30.12.2022
47,Cleveland Cavaliers,Brooklyn Nets,22,27,30,38,34,31,26,34,27.12.2022
48,Cleveland Cavaliers,Toronto Raptors,31,22,25,29,39,30,29,20,24.12.2022
49,Cleveland Cavaliers,Milwaukee Bucks,35,25,33,21,20,22,35,29,22.12.2022
50,Cleveland Cavaliers,Utah Jazz,29,33,28,32,21,23,27,28,20.12.2022
51,Cleveland Cavaliers,Dallas Mavericks,27,20,20,29,29,20,26,21,"18.12.2022
AOT"
52,Cleveland Cavaliers,Indiana Pacers,29,25,29,35,31,30,33,18,17.12.2022
53,Dallas Mavericks,Cleveland Cavaliers,19,22,27,22,26,34,23,22,15.12.2022
54,San Antonio Spurs,Cleveland Cavaliers,29,36,27,20,27,22,29,33,13.12.2022
55,Cleveland Cavaliers,Oklahoma City Thunder,28,31,23,28,22,24,26,30,11.12.2022
56,Cleveland Cavaliers,Sacramento Kings,20,29,31,15,31,18,30,27,10.12.2022
57,Cleveland Cavaliers,Los Angeles Lakers,27,30,28,31,26,23,34,19,07.12.2022
58,New York Knicks,Cleveland Cavaliers,23,23,25,21,16,27,20,18,05.12.2022
59,Cleveland Cavaliers,Orlando Magic,27,27,28,25,25,22,17,32,03.12.2022
60,Cleveland Cavaliers,Philadelphia 76ers,25,44,21,23,21,27,18,19,01.12.2022
61,Toronto Raptors,Cleveland Cavaliers,26,26,28,20,24,19,24,21,29.11.2022
62,Detroit Pistons,Cleveland Cavaliers,26,30,22,16,20,31,22,29,28.11.2022
63,Milwaukee Bucks,Cleveland Cavaliers,25,27,35,30,30,33,10,29,26.11.2022
64,Cleveland Cavaliers,Portland Trail Blazers,28,29,30,27,21,27,27,21,24.11.2022
65,Cleveland Cavaliers,Atlanta Hawks,38,26,21,29,26,33,23,20,22.11.2022
66,Cleveland Cavaliers,Miami Heat,28,31,36,18,27,15,22,23,21.11.2022
67,Cleveland Cavaliers,Charlotte Hornets,28,30,24,23,14,32,24,35,"19.11.2022
AOT"
68,Milwaukee Bucks,Cleveland Cavaliers,34,27,34,18,37,23,18,20,17.11.2022
69,Cleveland Cavaliers,Minnesota Timberwolves,20,30,34,40,40,27,37,25,14.11.2022
70,Golden State Warriors,Cleveland Cavaliers,25,23,26,32,25,27,25,24,12.11.2022
71,Sacramento Kings,Cleveland Cavaliers,34,35,28,30,29,29,35,27,10.11.2022
72,Los Angeles Clippers,Cleveland Cavaliers,31,33,24,31,37,27,23,30,08.11.2022
73,Los Angeles Lakers,Cleveland Cavaliers,36,28,16,20,30,28,29,27,06.11.2022
74,Detroit Pistons,Cleveland Cavaliers,21,18,29,20,24,33,33,22,05.11.2022
75,Cleveland Cavaliers,Boston Celtics,35,15,33,24,27,29,20,31,"03.11.2022
AOT"
