,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Boston Celtics,Atlanta Hawks,29,32,39,20,31,33,26,24,09.04. 18:00
1,Atlanta Hawks,Philadelphia 76ers,31,32,27,29,32,21,33,33,"08.04. 00:30
AOT"
2,Atlanta Hawks,Washington Wizards,33,34,39,28,32,28,30,26,06.04. 00:30
3,Chicago Bulls,Atlanta Hawks,26,27,27,25,36,29,25,33,05.04. 01:00
4,Atlanta Hawks,Dallas Mavericks,37,33,24,29,29,37,25,32,"02.04. 23:00
AOT"
5,Brooklyn Nets,Atlanta Hawks,25,34,42,23,33,22,24,28,01.04. 00:30
6,Atlanta Hawks,Cleveland Cavaliers,24,35,35,26,24,27,33,34,29.03. 00:30
7,Atlanta Hawks,Memphis Grizzlies,27,29,33,30,34,27,35,27,26.03. 23:00
8,Atlanta Hawks,Indiana Pacers,39,33,33,38,35,39,24,32,25.03. 22:00
9,Minnesota Timberwolves,Atlanta Hawks,39,28,27,31,40,22,35,27,23.03. 01:00
10,Atlanta Hawks,Detroit Pistons,38,28,33,30,32,27,19,29,22.03. 00:30
11,San Antonio Spurs,Atlanta Hawks,34,27,39,26,40,43,20,15,19.03. 21:00
12,Atlanta Hawks,Golden State Warriors,39,32,33,23,31,35,30,23,18.03. 00:30
13,Atlanta Hawks,Minnesota Timberwolves,29,23,33,30,40,36,30,30,14.03. 00:30
14,Atlanta Hawks,Boston Celtics,38,23,28,36,37,34,30,33,12.03. 01:30
15,Washington Wizards,Atlanta Hawks,29,21,25,32,24,32,29,29,11.03. 01:00
16,Washington Wizards,Atlanta Hawks,28,33,33,26,34,24,32,32,09.03. 01:00
17,Miami Heat,Atlanta Hawks,30,33,29,38,43,25,28,32,07.03. 01:30
18,Miami Heat,Atlanta Hawks,29,37,21,30,26,23,26,34,05.03. 02:00
19,Atlanta Hawks,Portland Trail Blazers,31,28,38,32,19,30,27,35,04.03. 01:30
20,Atlanta Hawks,Washington Wizards,27,29,34,26,27,25,33,34,01.03. 01:30
21,Atlanta Hawks,Brooklyn Nets,37,27,33,32,29,28,37,33,26.02. 21:00
22,Atlanta Hawks,Cleveland Cavaliers,32,49,27,28,23,34,26,36,25.02. 01:30
23,Atlanta Hawks,New York Knicks,21,23,32,25,37,29,25,31,16.02. 01:30
24,Charlotte Hornets,Atlanta Hawks,36,38,35,35,27,41,28,42,14.02. 01:00
25,Atlanta Hawks,San Antonio Spurs,32,29,32,32,31,29,17,29,12.02. 01:30
26,Atlanta Hawks,Phoenix Suns,36,20,37,23,22,25,28,32,10.02. 01:30
27,New Orleans Pelicans,Atlanta Hawks,33,29,29,25,35,24,22,26,08.02. 01:30
28,Denver Nuggets,Atlanta Hawks,35,35,27,31,30,22,34,22,05.02. 03:00
29,Utah Jazz,Atlanta Hawks,22,28,28,30,32,30,29,24,04.02. 03:00
30,Phoenix Suns,Atlanta Hawks,23,24,20,33,26,40,36,30,02.02. 04:00
31,Portland Trail Blazers,Atlanta Hawks,31,33,35,30,23,37,32,33,31.01. 04:00
32,Atlanta Hawks,Los Angeles Clippers,28,25,28,32,22,36,26,36,29.01. 01:30
33,Oklahoma City Thunder,Atlanta Hawks,43,34,27,28,39,38,32,28,26.01. 02:00
34,Chicago Bulls,Atlanta Hawks,17,40,21,33,21,27,30,22,24.01. 02:00
35,Atlanta Hawks,Charlotte Hornets,31,34,28,25,25,24,36,37,22.01. 01:30
36,Atlanta Hawks,New York Knicks,35,33,34,37,38,33,30,23,21.01. 01:30
37,Dallas Mavericks,Atlanta Hawks,37,25,35,25,40,25,33,32,19.01. 01:30
38,Atlanta Hawks,Miami Heat,38,32,21,30,26,24,30,33,16.01. 21:30
39,Toronto Raptors,Atlanta Hawks,25,32,22,24,34,35,27,18,15.01. 01:30
40,Indiana Pacers,Atlanta Hawks,27,31,31,22,36,19,29,29,14.01. 01:00
41,Atlanta Hawks,Milwaukee Bucks,19,27,36,23,39,28,22,25,12.01. 01:30
