,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Cleveland Cavaliers,Charlotte Hornets,25,29,21,20,17,32,21,36,09.04. 18:00
1,Charlotte Hornets,Houston Rockets,26,23,24,36,25,30,30,27,08.04. 00:00
2,Charlotte Hornets,Toronto Raptors,29,20,26,25,25,36,33,26,05.04. 00:00
3,Charlotte Hornets,Toronto Raptors,25,27,37,19,35,32,34,27,02.04. 18:00
4,Charlotte Hornets,Chicago Bulls,23,23,31,14,31,31,28,31,01.04. 00:00
5,Oklahoma City Thunder,Charlotte Hornets,23,45,31,35,26,31,36,44,29.03. 01:00
6,Charlotte Hornets,Dallas Mavericks,30,25,26,29,16,32,24,32,26.03. 18:00
7,Dallas Mavericks,Charlotte Hornets,26,29,32,22,37,32,26,22,25.03. 01:30
8,New Orleans Pelicans,Charlotte Hornets,37,25,26,27,24,33,24,15,24.03. 01:00
9,Charlotte Hornets,Indiana Pacers,22,36,27,30,40,26,22,21,21.03. 00:00
10,Charlotte Hornets,Philadelphia 76ers,29,25,13,15,31,35,26,29,18.03. 00:00
11,Charlotte Hornets,Cleveland Cavaliers,27,21,28,28,30,33,35,22,15.03. 00:00
12,Charlotte Hornets,Cleveland Cavaliers,35,24,30,19,25,27,29,33,12.03. 22:00
13,Charlotte Hornets,Utah Jazz,29,20,32,30,32,26,39,22,12.03. 01:00
14,Detroit Pistons,Charlotte Hornets,23,27,33,20,31,28,34,20,10.03. 01:00
15,New York Knicks,Charlotte Hornets,21,45,23,16,21,29,37,25,08.03. 01:30
16,Brooklyn Nets,Charlotte Hornets,36,34,16,16,21,20,21,24,06.03. 00:00
17,Charlotte Hornets,Orlando Magic,26,22,25,33,31,33,27,26,04.03. 01:00
18,Charlotte Hornets,Phoenix Suns,22,19,32,18,27,30,22,26,02.03. 01:00
19,Charlotte Hornets,Detroit Pistons,41,24,27,25,21,25,30,30,28.02. 01:00
20,Charlotte Hornets,Miami Heat,29,25,28,26,16,35,21,31,26.02. 01:00
21,Minnesota Timberwolves,Charlotte Hornets,32,32,25,24,37,35,24,25,25.02. 02:00
22,Charlotte Hornets,San Antonio Spurs,32,28,33,27,32,25,29,24,16.02. 01:00
23,Charlotte Hornets,Atlanta Hawks,36,38,35,35,27,41,28,42,14.02. 01:00
24,Charlotte Hornets,Denver Nuggets,34,26,23,22,27,30,37,25,12.02. 01:00
25,Boston Celtics,Charlotte Hornets,32,39,26,30,24,29,28,35,11.02. 01:30
26,Washington Wizards,Charlotte Hornets,32,29,27,30,31,30,15,28,09.02. 01:00
27,Charlotte Hornets,Orlando Magic,37,21,27,28,28,34,28,29,05.02. 19:00
28,Detroit Pistons,Charlotte Hornets,29,40,23,26,30,38,26,18,04.02. 01:10
29,Chicago Bulls,Charlotte Hornets,31,22,32,29,29,20,21,28,03.02. 02:00
30,Milwaukee Bucks,Charlotte Hornets,34,30,33,27,27,37,26,25,01.02. 02:00
31,Charlotte Hornets,Miami Heat,26,32,33,31,28,34,24,31,29.01. 19:00
32,Charlotte Hornets,Chicago Bulls,32,15,30,34,36,19,24,17,27.01. 01:30
33,Phoenix Suns,Charlotte Hornets,36,22,40,30,15,32,30,20,25.01. 03:00
34,Utah Jazz,Charlotte Hornets,21,37,31,31,24,21,34,23,24.01. 03:00
35,Atlanta Hawks,Charlotte Hornets,31,34,28,25,25,24,36,37,22.01. 01:30
36,Houston Rockets,Charlotte Hornets,31,29,24,33,36,17,30,39,19.01. 02:00
37,Charlotte Hornets,Boston Celtics,22,33,31,32,35,31,26,38,16.01. 19:00
38,Charlotte Hornets,Boston Celtics,34,32,19,21,31,31,33,27,15.01. 01:00
39,Toronto Raptors,Charlotte Hornets,38,31,28,27,29,26,33,26,13.01. 01:30
40,Toronto Raptors,Charlotte Hornets,35,37,24,36,34,32,28,26,11.01. 01:30
41,Indiana Pacers,Charlotte Hornets,15,32,26,43,27,18,34,32,08.01. 23:00
42,Milwaukee Bucks,Charlotte Hornets,28,32,27,22,51,33,28,26,07.01. 02:00
43,Charlotte Hornets,Memphis Grizzlies,26,21,26,34,40,36,26,29,05.01. 01:00
44,Charlotte Hornets,Los Angeles Lakers,21,24,31,39,22,38,34,27,03.01. 01:00
45,Charlotte Hornets,Brooklyn Nets,22,27,30,27,32,29,36,26,01.01. 01:00
46,Charlotte Hornets,Oklahoma City Thunder,36,21,28,36,30,30,24,29,30.12.2022
47,Golden State Warriors,Charlotte Hornets,37,28,24,21,26,26,26,27,28.12.2022
48,Portland Trail Blazers,Charlotte Hornets,30,31,40,23,34,33,28,18,27.12.2022
49,Los Angeles Lakers,Charlotte Hornets,31,36,20,43,27,40,30,37,24.12.2022
50,Los Angeles Clippers,Charlotte Hornets,37,34,26,29,19,21,34,31,22.12.2022
51,Sacramento Kings,Charlotte Hornets,30,33,29,27,39,27,25,34,20.12.2022
52,Denver Nuggets,Charlotte Hornets,20,35,39,25,25,27,28,35,19.12.2022
