,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Washington Wizards,Houston Rockets,39,28,18,24,31,24,32,27,09.04. 18:00
1,Charlotte Hornets,Houston Rockets,26,23,24,36,25,30,30,27,08.04. 00:00
2,Houston Rockets,Denver Nuggets,31,25,30,38,30,29,26,18,05.04. 01:00
3,Houston Rockets,Los Angeles Lakers,21,39,23,26,35,35,31,33,03.04. 00:00
4,Houston Rockets,Detroit Pistons,31,27,33,30,28,33,31,23,01.04. 01:00
5,Brooklyn Nets,Houston Rockets,30,24,32,37,25,30,32,27,30.03. 00:30
6,New York Knicks,Houston Rockets,36,30,36,35,33,28,29,25,28.03. 00:30
7,Cleveland Cavaliers,Houston Rockets,33,27,25,23,22,21,37,11,26.03. 23:00
8,Memphis Grizzlies,Houston Rockets,42,41,36,32,30,22,32,30,25.03. 01:00
9,Memphis Grizzlies,Houston Rockets,37,38,26,29,34,30,32,29,23.03. 01:00
10,Houston Rockets,Golden State Warriors,21,29,30,28,26,29,29,37,21.03. 01:00
11,Houston Rockets,New Orleans Pelicans,28,16,34,29,38,26,28,25,20.03. 00:00
12,Houston Rockets,New Orleans Pelicans,31,18,31,34,26,28,36,22,18.03. 01:00
13,Houston Rockets,Los Angeles Lakers,31,31,21,31,19,29,26,36,16.03. 01:00
14,Houston Rockets,Boston Celtics,31,31,23,26,29,26,25,29,14.03. 01:00
15,Houston Rockets,Chicago Bulls,32,23,40,16,22,32,33,32,12.03. 02:00
16,Indiana Pacers,Houston Rockets,38,26,34,17,27,31,33,24,"10.03. 01:00
AOT"
17,Houston Rockets,Brooklyn Nets,32,22,24,18,27,32,33,26,08.03. 02:00
18,Houston Rockets,San Antonio Spurs,38,35,35,34,24,39,24,23,06.03. 01:00
19,San Antonio Spurs,Houston Rockets,32,36,22,20,29,41,25,27,05.03. 02:00
20,Houston Rockets,Memphis Grizzlies,19,25,24,31,25,22,38,28,02.03. 02:00
21,Houston Rockets,Denver Nuggets,30,24,30,28,41,33,32,27,01.03. 02:00
22,Portland Trail Blazers,Houston Rockets,32,41,29,29,31,27,30,26,27.02. 03:00
23,Golden State Warriors,Houston Rockets,26,40,20,30,26,23,28,24,25.02. 04:00
24,Oklahoma City Thunder,Houston Rockets,38,38,40,17,21,33,24,18,16.02. 02:00
25,Philadelphia 76ers,Houston Rockets,32,23,35,33,29,19,30,26,14.02. 01:00
26,Miami Heat,Houston Rockets,28,30,17,22,29,27,17,22,11.02. 02:00
27,Houston Rockets,Sacramento Kings,37,25,35,31,30,28,41,31,09.02. 02:00
28,Houston Rockets,Sacramento Kings,24,24,40,32,31,34,34,41,07.02. 02:00
29,Oklahoma City Thunder,Houston Rockets,38,41,44,30,19,34,28,40,05.02. 02:00
30,Houston Rockets,Toronto Raptors,21,27,24,39,20,35,30,32,04.02. 02:00
31,Houston Rockets,Oklahoma City Thunder,34,33,17,28,25,33,28,20,02.02. 02:00
32,Detroit Pistons,Houston Rockets,37,20,29,28,27,32,24,34,29.01. 01:00
33,Houston Rockets,Cleveland Cavaliers,25,23,26,21,37,37,23,16,27.01. 02:00
34,Houston Rockets,Washington Wizards,30,28,23,22,25,18,28,37,26.01. 02:00
35,Houston Rockets,Minnesota Timberwolves,31,25,34,29,26,30,25,33,24.01. 02:00
36,Minnesota Timberwolves,Houston Rockets,26,24,37,26,26,26,32,20,22.01. 02:00
37,Houston Rockets,Charlotte Hornets,31,29,24,33,36,17,30,39,19.01. 02:00
38,Los Angeles Lakers,Houston Rockets,37,36,29,38,35,26,37,34,17.01. 04:30
39,Los Angeles Clippers,Houston Rockets,31,31,29,30,30,33,27,10,15.01. 21:00
40,Sacramento Kings,Houston Rockets,36,33,43,27,32,34,26,22,14.01. 04:00
41,Sacramento Kings,Houston Rockets,31,36,27,41,27,35,33,20,12.01. 04:00
42,Houston Rockets,Minnesota Timberwolves,33,29,19,15,24,34,19,27,09.01. 01:00
