,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Dallas Mavericks,San Antonio Spurs,14,45,32,26,42,29,37,30,09.04. 20:30
1,Dallas Mavericks,Chicago Bulls,29,38,24,21,26,28,31,30,08.04. 01:30
2,Dallas Mavericks,Sacramento Kings,28,32,32,31,27,44,21,27,06.04. 01:30
3,Atlanta Hawks,Dallas Mavericks,37,33,24,29,29,37,25,32,"02.04. 23:00
AOT"
4,Miami Heat,Dallas Mavericks,44,32,26,27,31,33,32,26,02.04. 00:30
5,Philadelphia 76ers,Dallas Mavericks,28,29,32,27,37,25,29,17,30.03. 00:30
6,Indiana Pacers,Dallas Mavericks,27,20,27,30,29,30,40,28,28.03. 00:00
7,Charlotte Hornets,Dallas Mavericks,30,25,26,29,16,32,24,32,26.03. 18:00
8,Dallas Mavericks,Charlotte Hornets,26,29,32,22,37,32,26,22,25.03. 01:30
9,Dallas Mavericks,Golden State Warriors,33,30,30,32,30,35,31,31,23.03. 00:30
10,Memphis Grizzlies,Dallas Mavericks,30,27,26,29,28,32,36,12,21.03. 01:00
11,Los Angeles Lakers,Dallas Mavericks,33,21,26,30,29,33,27,22,18.03. 03:40
12,San Antonio Spurs,Dallas Mavericks,29,33,32,27,28,32,28,33,"16.03. 01:30
AOT"
13,Dallas Mavericks,Memphis Grizzlies,25,25,21,17,29,20,36,19,14.03. 00:30
14,Memphis Grizzlies,Dallas Mavericks,27,29,21,35,23,27,33,25,12.03. 02:00
15,New Orleans Pelicans,Dallas Mavericks,24,35,24,30,24,19,22,41,09.03. 01:30
16,Dallas Mavericks,Utah Jazz,34,25,28,33,31,28,27,30,08.03. 02:30
17,Dallas Mavericks,Phoenix Suns,25,37,33,31,31,28,37,34,05.03. 19:00
18,Dallas Mavericks,Philadelphia 76ers,38,33,39,23,37,30,24,35,03.03. 01:30
19,Dallas Mavericks,Indiana Pacers,33,26,39,24,31,38,37,18,01.03. 02:30
20,Dallas Mavericks,Los Angeles Lakers,28,33,20,27,16,31,31,33,26.02. 21:30
21,Dallas Mavericks,San Antonio Spurs,34,40,25,43,26,37,27,26,24.02. 02:30
22,Denver Nuggets,Dallas Mavericks,26,35,31,26,25,19,30,35,16.02. 03:00
23,Dallas Mavericks,Minnesota Timberwolves,23,31,28,39,33,32,35,24,14.02. 02:30
24,Sacramento Kings,Dallas Mavericks,34,28,24,28,32,32,24,26,"12.02. 04:00
AOT"
25,Sacramento Kings,Dallas Mavericks,25,31,31,27,45,29,27,21,11.02. 04:00
26,Los Angeles Clippers,Dallas Mavericks,25,27,26,26,41,19,21,29,09.02. 04:00
27,Utah Jazz,Dallas Mavericks,37,25,23,26,25,35,29,35,07.02. 03:00
28,Golden State Warriors,Dallas Mavericks,40,33,29,17,23,35,28,27,05.02. 02:30
29,Dallas Mavericks,New Orleans Pelicans,40,30,25,16,22,21,33,30,03.02. 02:30
30,Dallas Mavericks,Detroit Pistons,30,23,30,28,27,30,27,21,31.01. 02:30
31,Utah Jazz,Dallas Mavericks,34,32,18,24,23,25,28,24,29.01. 03:00
32,Phoenix Suns,Dallas Mavericks,32,16,21,26,32,22,22,23,27.01. 04:00
33,Dallas Mavericks,Washington Wizards,28,32,37,29,32,33,34,28,25.01. 02:30
34,Dallas Mavericks,Los Angeles Clippers,20,34,25,19,22,27,30,33,22.01. 20:30
35,Dallas Mavericks,Miami Heat,31,29,32,23,19,32,16,23,21.01. 01:30
36,Dallas Mavericks,Atlanta Hawks,37,25,35,25,40,25,33,32,19.01. 01:30
37,Portland Trail Blazers,Dallas Mavericks,33,28,37,42,31,23,41,28,16.01. 03:00
38,Portland Trail Blazers,Dallas Mavericks,31,40,35,30,30,26,34,29,15.01. 04:00
39,Los Angeles Lakers,Dallas Mavericks,22,26,28,25,36,23,23,19,"13.01. 04:00
AOT"
40,Los Angeles Clippers,Dallas Mavericks,31,38,19,25,25,22,31,23,11.01. 04:30
41,Oklahoma City Thunder,Dallas Mavericks,33,36,27,24,34,21,28,26,09.01. 01:00
42,Dallas Mavericks,New Orleans Pelicans,34,29,34,30,15,31,35,36,08.01. 02:00
43,Dallas Mavericks,Boston Celtics,20,26,19,30,29,35,25,35,06.01. 01:30
44,Houston Rockets,Dallas Mavericks,26,29,32,19,18,26,39,28,03.01. 02:00
45,San Antonio Spurs,Dallas Mavericks,30,34,29,32,32,36,35,23,01.01. 01:00
46,Dallas Mavericks,Houston Rockets,36,29,34,30,30,21,28,35,30.12.2022
47,Dallas Mavericks,New York Knicks,28,27,27,33,30,33,29,23,"28.12.2022
AOT"
48,Dallas Mavericks,Los Angeles Lakers,21,22,51,30,28,26,21,40,25.12.2022
49,Houston Rockets,Dallas Mavericks,24,26,34,22,30,31,20,31,24.12.2022
50,Minnesota Timberwolves,Dallas Mavericks,31,21,22,25,29,22,24,29,22.12.2022
51,Minnesota Timberwolves,Dallas Mavericks,21,36,37,22,30,14,30,32,20.12.2022
52,Cleveland Cavaliers,Dallas Mavericks,27,20,20,29,29,20,26,21,"18.12.2022
AOT"
53,Dallas Mavericks,Portland Trail Blazers,31,41,38,20,32,31,22,25,17.12.2022
54,Dallas Mavericks,Cleveland Cavaliers,19,22,27,22,26,34,23,22,15.12.2022
55,Dallas Mavericks,Oklahoma City Thunder,23,43,31,24,28,24,38,24,13.12.2022
56,Chicago Bulls,Dallas Mavericks,40,42,31,31,30,23,32,30,11.12.2022
57,Dallas Mavericks,Milwaukee Bucks,33,15,36,21,32,20,21,33,10.12.2022
58,Denver Nuggets,Dallas Mavericks,29,29,28,29,36,28,27,25,07.12.2022
59,Dallas Mavericks,Phoenix Suns,33,34,29,34,15,26,34,36,06.12.2022
60,New York Knicks,Dallas Mavericks,32,27,15,26,20,32,41,28,03.12.2022
61,Detroit Pistons,Dallas Mavericks,36,25,38,18,36,24,29,28,"02.12.2022
AOT"
62,Dallas Mavericks,Golden State Warriors,36,19,37,24,24,30,33,26,30.11.2022
63,Milwaukee Bucks,Dallas Mavericks,41,32,31,20,33,29,34,19,28.11.2022
64,Toronto Raptors,Dallas Mavericks,24,30,27,24,29,23,21,27,26.11.2022
65,Boston Celtics,Dallas Mavericks,34,36,31,24,23,26,36,27,24.11.2022
66,Dallas Mavericks,Denver Nuggets,25,31,18,23,25,30,24,19,21.11.2022
67,Dallas Mavericks,Denver Nuggets,29,44,32,22,27,28,28,16,19.11.2022
68,Dallas Mavericks,Houston Rockets,28,23,23,18,31,26,19,25,17.11.2022
69,Dallas Mavericks,Los Angeles Clippers,30,24,15,34,15,17,33,36,16.11.2022
70,Dallas Mavericks,Portland Trail Blazers,35,24,26,32,25,32,31,24,13.11.2022
71,Washington Wizards,Dallas Mavericks,28,30,29,26,34,27,22,22,11.11.2022
72,Orlando Magic,Dallas Mavericks,24,26,23,21,28,26,20,13,09.11.2022
73,Dallas Mavericks,Brooklyn Nets,29,24,19,24,34,16,23,21,08.11.2022
74,Dallas Mavericks,Toronto Raptors,31,31,34,15,29,28,24,29,05.11.2022
75,Dallas Mavericks,Utah Jazz,23,24,27,29,35,15,28,22,03.11.2022
76,Dallas Mavericks,Orlando Magic,29,31,28,26,34,26,23,22,31.10.2022
77,Dallas Mavericks,Oklahoma City Thunder,25,26,20,28,27,19,26,27,"30.10.2022
AOT"
78,Brooklyn Nets,Dallas Mavericks,23,36,25,28,30,31,29,22,"28.10.2022
AOT"
79,New Orleans Pelicans,Dallas Mavericks,40,26,21,26,31,33,25,22,26.10.2022
80,Dallas Mavericks,Memphis Grizzlies,39,25,35,38,17,19,35,25,23.10.2022
81,Phoenix Suns,Dallas Mavericks,24,21,31,31,32,30,19,24,20.10.2022
82,Utah Jazz,Dallas Mavericks,26,27,26,22,27,27,28,33,15.10.2022
83,Dallas Mavericks,Orlando Magic,33,27,24,21,15,40,28,27,08.10.2022
84,Oklahoma City Thunder,Dallas Mavericks,26,26,23,21,28,25,20,25,06.10.2022
85,Dallas Mavericks,Los Angeles Lakers,16,22,26,20,26,32,19,18,17.07.2022
86,Milwaukee Bucks,Dallas Mavericks,17,25,31,27,28,14,18,29,15.07.2022
87,Dallas Mavericks,Phoenix Suns,13,12,22,31,26,21,29,29,13.07.2022
