,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Oklahoma City Thunder,Memphis Grizzlies,20,27,38,30,24,25,24,27,09.04. 20:30
1,Milwaukee Bucks,Memphis Grizzlies,31,41,15,27,36,35,37,29,08.04. 01:00
2,New Orleans Pelicans,Memphis Grizzlies,32,20,33,39,34,35,21,34,"06.04. 01:00
AOT"
3,Memphis Grizzlies,Portland Trail Blazers,41,25,30,23,25,37,33,14,05.04. 01:00
4,Chicago Bulls,Memphis Grizzlies,25,28,40,35,36,32,16,23,02.04. 20:30
5,Memphis Grizzlies,Los Angeles Clippers,21,34,31,22,34,17,21,22,01.04. 01:00
6,Memphis Grizzlies,Los Angeles Clippers,30,34,41,27,29,41,35,36,30.03. 01:00
7,Memphis Grizzlies,Orlando Magic,32,27,28,26,15,29,29,35,29.03. 01:00
8,Atlanta Hawks,Memphis Grizzlies,27,29,33,30,34,27,35,27,26.03. 23:00
9,Memphis Grizzlies,Houston Rockets,42,41,36,32,30,22,32,30,25.03. 01:00
10,Memphis Grizzlies,Houston Rockets,37,38,26,29,34,30,32,29,23.03. 01:00
11,Memphis Grizzlies,Dallas Mavericks,30,27,26,29,28,32,36,12,21.03. 01:00
12,Memphis Grizzlies,Golden State Warriors,33,38,33,29,23,36,41,19,19.03. 01:00
13,San Antonio Spurs,Memphis Grizzlies,35,34,24,16,26,20,35,28,"18.03. 01:00
AOT"
14,Miami Heat,Memphis Grizzlies,29,34,42,33,27,24,26,42,16.03. 00:30
15,Dallas Mavericks,Memphis Grizzlies,25,25,21,17,29,20,36,19,14.03. 00:30
16,Memphis Grizzlies,Dallas Mavericks,27,29,21,35,23,27,33,25,12.03. 02:00
17,Memphis Grizzlies,Golden State Warriors,48,29,22,32,28,31,34,17,10.03. 01:30
18,Los Angeles Lakers,Memphis Grizzlies,23,33,26,30,21,36,23,23,08.03. 04:00
19,Los Angeles Clippers,Memphis Grizzlies,30,37,30,38,28,33,51,17,06.03. 04:00
20,Denver Nuggets,Memphis Grizzlies,28,22,30,33,27,31,22,17,04.03. 04:00
21,Houston Rockets,Memphis Grizzlies,19,25,24,31,25,22,38,28,02.03. 02:00
22,Memphis Grizzlies,Los Angeles Lakers,26,20,47,28,22,27,35,25,01.03. 01:30
23,Memphis Grizzlies,Denver Nuggets,28,38,28,18,20,22,20,32,26.02. 02:00
24,Philadelphia 76ers,Memphis Grizzlies,22,25,28,35,37,22,22,24,24.02. 01:30
25,Memphis Grizzlies,Utah Jazz,38,25,25,29,24,23,33,31,16.02. 02:00
26,Boston Celtics,Memphis Grizzlies,26,35,21,37,28,20,33,28,12.02. 20:00
27,Memphis Grizzlies,Minnesota Timberwolves,31,38,34,25,32,26,28,21,11.02. 02:00
28,Memphis Grizzlies,Chicago Bulls,26,23,23,32,14,25,36,14,08.02. 02:00
29,Memphis Grizzlies,Toronto Raptors,31,31,24,17,28,31,19,28,06.02. 00:00
30,Cleveland Cavaliers,Memphis Grizzlies,30,37,32,29,26,28,33,26,03.02. 01:30
31,Memphis Grizzlies,Portland Trail Blazers,32,25,33,22,26,26,32,38,02.02. 01:00
32,Memphis Grizzlies,Indiana Pacers,23,27,30,32,32,30,17,21,30.01. 00:00
33,Minnesota Timberwolves,Memphis Grizzlies,38,24,25,24,31,22,24,23,28.01. 01:30
34,Golden State Warriors,Memphis Grizzlies,24,29,37,32,22,32,42,24,26.01. 04:00
35,Sacramento Kings,Memphis Grizzlies,47,19,34,33,33,28,29,10,24.01. 04:30
36,Phoenix Suns,Memphis Grizzlies,32,30,25,25,18,19,35,38,23.01. 02:00
37,Los Angeles Lakers,Memphis Grizzlies,26,23,32,41,23,30,36,32,21.01. 04:00
38,Memphis Grizzlies,Cleveland Cavaliers,31,37,21,26,30,31,30,23,19.01. 02:00
39,Memphis Grizzlies,Phoenix Suns,29,39,39,29,36,29,23,18,17.01. 00:00
40,Indiana Pacers,Memphis Grizzlies,28,24,27,33,36,32,29,33,15.01. 01:00
41,Memphis Grizzlies,San Antonio Spurs,32,44,36,23,37,25,35,32,12.01. 02:00
42,Memphis Grizzlies,San Antonio Spurs,35,37,25,24,25,36,31,21,10.01. 02:00
43,Memphis Grizzlies,Utah Jazz,23,43,32,25,24,28,38,28,09.01. 00:00
