home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
Miami Heat,Orlando Magic,23,29,32,39,24,26,35,25,09.04. 18:00
Washington Wizards,Miami Heat,26,27,36,25,23,28,20,37,08.04. 00:00
Philadelphia 76ers,Miami Heat,31,15,32,23,41,26,29,33,07.04. 00:30
Detroit Pistons,Miami Heat,27,25,27,26,31,28,21,38,05.04. 00:00
Miami Heat,Dallas Mavericks,44,32,26,27,31,33,32,26,02.04. 00:30
New York Knicks,Miami Heat,19,29,28,25,23,23,30,16,30.03. 00:30
Toronto Raptors,Miami Heat,24,29,31,22,23,24,20,25,29.03. 00:30
Miami Heat,Brooklyn Nets,36,33,18,13,28,37,39,25,26.03. 01:00
Miami Heat,New York Knicks,31,33,28,35,32,29,25,34,23.03. 00:30
Detroit Pistons,Miami Heat,29,18,34,19,26,26,22,38,19.03. 23:00
Chicago Bulls,Miami Heat,33,37,20,23,19,26,32,22,19.03. 01:00
Miami Heat,Memphis Grizzlies,29,34,42,33,27,24,26,42,16.03. 00:30
Miami Heat,Utah Jazz,33,23,34,29,26,31,33,25,14.03. 00:30
Orlando Magic,Miami Heat,34,24,23,27,24,31,23,30,"12.03. 01:00
AOT"
Miami Heat,Cleveland Cavaliers,27,23,32,37,26,33,30,26,11.03. 02:00
Miami Heat,Cleveland Cavaliers,30,23,29,18,26,31,30,17,09.03. 01:30
Miami Heat,Atlanta Hawks,30,33,29,38,43,25,28,32,07.03. 01:30
Miami Heat,Atlanta Hawks,29,37,21,30,26,23,26,34,05.03. 02:00
Miami Heat,New York Knicks,31,25,32,32,37,34,25,26,04.03. 02:00
Miami Heat,Philadelphia 76ers,38,15,24,19,34,37,25,23,02.03. 01:30
Philadelphia 76ers,Miami Heat,22,28,30,19,28,30,26,17,28.02. 01:00
Charlotte Hornets,Miami Heat,29,25,28,26,16,35,21,31,26.02. 01:00
Milwaukee Bucks,Miami Heat,42,31,22,33,32,24,18,25,25.02. 01:30
Brooklyn Nets,Miami Heat,26,26,31,33,25,31,24,25,16.02. 01:30
Miami Heat,Denver Nuggets,36,26,21,25,27,38,24,23,14.02. 01:30
Orlando Magic,Miami Heat,29,25,25,18,19,27,26,25,"12.02. 01:00
AOT"
Miami Heat,Houston Rockets,28,30,17,22,29,27,17,22,11.02. 02:00
Miami Heat,Indiana Pacers,39,21,29,27,30,33,20,28,09.02. 01:30
Milwaukee Bucks,Miami Heat,34,28,32,29,26,36,30,23,05.02. 02:00
New York Knicks,Miami Heat,28,23,26,29,22,26,24,32,03.02. 01:30
Cleveland Cavaliers,Miami Heat,26,26,27,18,24,31,24,21,01.02. 01:00
Charlotte Hornets,Miami Heat,26,32,33,31,28,34,24,31,29.01. 19:00
Miami Heat,Orlando Magic,26,24,23,37,31,28,20,26,28.01. 02:00
Miami Heat,Boston Celtics,32,18,25,23,30,28,24,13,25.01. 01:30
Miami Heat,New Orleans Pelicans,23,18,28,31,32,15,25,24,22.01. 21:30
Dallas Mavericks,Miami Heat,31,29,32,23,19,32,16,23,21.01. 01:30
New Orleans Pelicans,Miami Heat,23,28,25,22,36,34,28,26,19.01. 02:00
Atlanta Hawks,Miami Heat,38,32,21,30,26,24,30,33,16.01. 21:30
Miami Heat,Milwaukee Bucks,28,25,24,34,20,25,26,24,14.01. 19:00
Miami Heat,Milwaukee Bucks,14,31,33,30,23,22,28,29,13.01. 01:30
Miami Heat,Oklahoma City Thunder,31,32,26,23,26,30,32,23,11.01. 01:30
Miami Heat,Brooklyn Nets,30,34,18,19,31,35,13,23,09.01. 00:00
Phoenix Suns,Miami Heat,23,23,27,23,30,21,27,26,07.01. 04:00
Los Angeles Lakers,Miami Heat,32,20,27,33,23,25,30,31,05.01. 04:00
