,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Denver Nuggets,Sacramento Kings,26,33,24,26,43,24,14,14,09.04. 20:30
1,Utah Jazz,Denver Nuggets,32,26,31,29,19,36,40,19,08.04. 20:30
2,Phoenix Suns,Denver Nuggets,27,29,33,30,25,30,31,29,07.04. 03:00
3,Houston Rockets,Denver Nuggets,31,25,30,38,30,29,26,18,05.04. 01:00
4,Denver Nuggets,Golden State Warriors,26,32,31,23,36,25,26,23,03.04. 01:30
5,Phoenix Suns,Denver Nuggets,32,28,24,16,20,20,34,19,01.04. 03:30
6,Denver Nuggets,New Orleans Pelicans,17,23,30,18,21,29,32,25,31.03. 03:00
7,Denver Nuggets,Philadelphia 76ers,25,36,30,25,18,39,20,34,28.03. 02:30
8,Denver Nuggets,Milwaukee Bucks,37,26,34,32,38,28,19,21,26.03. 02:00
9,Washington Wizards,Denver Nuggets,29,28,16,31,31,24,39,24,23.03. 00:00
10,Brooklyn Nets,Denver Nuggets,21,27,23,31,33,30,28,17,19.03. 20:30
11,New York Knicks,Denver Nuggets,36,26,29,25,28,39,24,19,18.03. 18:00
12,Detroit Pistons,Denver Nuggets,28,36,22,14,29,29,28,33,17.03. 00:00
13,Toronto Raptors,Denver Nuggets,49,23,26,27,30,26,36,18,15.03. 00:30
14,Denver Nuggets,Brooklyn Nets,30,39,18,33,30,31,37,24,12.03. 20:30
15,San Antonio Spurs,Denver Nuggets,26,42,30,30,38,29,26,27,11.03. 02:00
16,Denver Nuggets,Chicago Bulls,29,23,24,20,25,26,36,30,09.03. 03:00
17,Denver Nuggets,Toronto Raptors,29,29,25,35,34,27,27,25,07.03. 03:00
18,Denver Nuggets,Memphis Grizzlies,28,22,30,33,27,31,22,17,04.03. 04:00
19,Houston Rockets,Denver Nuggets,30,24,30,28,41,33,32,27,01.03. 02:00
20,Denver Nuggets,Los Angeles Clippers,35,31,31,23,22,36,30,32,"27.02. 04:00
AOT"
21,Memphis Grizzlies,Denver Nuggets,28,38,28,18,20,22,20,32,26.02. 02:00
22,Cleveland Cavaliers,Denver Nuggets,26,31,34,18,31,25,33,26,24.02. 01:00
23,Denver Nuggets,Dallas Mavericks,26,35,31,26,25,19,30,35,16.02. 03:00
24,Miami Heat,Denver Nuggets,36,26,21,25,27,38,24,23,14.02. 01:30
25,Charlotte Hornets,Denver Nuggets,34,26,23,22,27,30,37,25,12.02. 01:00
26,Orlando Magic,Denver Nuggets,29,36,24,26,26,29,29,20,10.02. 01:00
27,Denver Nuggets,Minnesota Timberwolves,49,30,31,36,19,29,27,37,08.02. 03:00
28,Minnesota Timberwolves,Denver Nuggets,32,31,31,34,21,22,28,27,06.02. 01:00
29,Denver Nuggets,Atlanta Hawks,35,35,27,31,30,22,34,22,05.02. 03:00
30,Denver Nuggets,Golden State Warriors,34,36,35,29,35,34,22,26,03.02. 03:00
31,Denver Nuggets,New Orleans Pelicans,31,26,36,29,35,25,24,29,01.02. 04:00
32,Philadelphia 76ers,Denver Nuggets,29,29,38,30,38,35,26,20,28.01. 21:00
33,Milwaukee Bucks,Denver Nuggets,26,32,23,26,27,26,20,26,26.01. 02:00
34,New Orleans Pelicans,Denver Nuggets,24,23,27,24,28,35,20,16,25.01. 02:00
35,Denver Nuggets,Oklahoma City Thunder,18,29,27,25,27,25,29,20,23.01. 02:00
36,Denver Nuggets,Indiana Pacers,37,24,38,35,28,25,29,29,21.01. 03:00
37,Denver Nuggets,Minnesota Timberwolves,30,25,33,34,27,33,35,23,19.01. 04:00
38,Denver Nuggets,Portland Trail Blazers,34,39,28,21,31,36,22,24,18.01. 03:00
39,Denver Nuggets,Orlando Magic,31,38,25,25,25,29,34,28,16.01. 02:00
40,Los Angeles Clippers,Denver Nuggets,34,24,23,22,32,25,29,29,14.01. 04:00
41,Denver Nuggets,Phoenix Suns,34,36,30,26,28,26,21,22,12.01. 04:00
42,Denver Nuggets,Los Angeles Lakers,29,33,32,28,23,25,31,30,10.01. 03:00
43,Denver Nuggets,Cleveland Cavaliers,26,36,32,27,28,30,24,26,07.01. 03:00
44,Denver Nuggets,Los Angeles Clippers,32,34,36,20,15,17,27,32,06.01. 04:00
45,Minnesota Timberwolves,Denver Nuggets,23,36,31,34,23,30,32,26,03.01. 02:00
46,Denver Nuggets,Boston Celtics,37,25,36,25,28,26,31,26,02.01. 02:00
47,Denver Nuggets,Miami Heat,23,37,25,39,19,38,33,29,31.12.2022
48,Sacramento Kings,Denver Nuggets,24,38,32,33,40,35,30,21,29.12.2022
49,Sacramento Kings,Denver Nuggets,32,24,27,23,20,27,32,34,28.12.2022
50,Denver Nuggets,Phoenix Suns,28,23,30,32,24,33,27,29,"26.12.2022
AOT"
51,Denver Nuggets,Portland Trail Blazers,32,26,35,27,27,37,16,27,24.12.2022
52,Denver Nuggets,Memphis Grizzlies,35,20,29,21,14,26,31,20,21.12.2022
53,Denver Nuggets,Charlotte Hornets,20,35,39,25,25,27,28,35,19.12.2022
54,Los Angeles Lakers,Denver Nuggets,33,31,29,33,32,33,23,20,17.12.2022
55,Denver Nuggets,Washington Wizards,38,34,30,39,31,36,28,33,15.12.2022
56,Denver Nuggets,Utah Jazz,28,33,31,23,26,26,38,20,11.12.2022
