,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Minnesota Timberwolves,New Orleans Pelicans,18,29,36,30,30,25,30,23,09.04. 20:30
1,New Orleans Pelicans,New York Knicks,27,33,23,30,30,30,23,22,08.04. 01:00
2,New Orleans Pelicans,Memphis Grizzlies,32,20,33,39,34,35,21,34,"06.04. 01:00
AOT"
3,New Orleans Pelicans,Sacramento Kings,22,32,26,23,25,40,31,25,05.04. 01:00
4,New Orleans Pelicans,Los Angeles Clippers,21,34,36,31,31,25,34,24,02.04. 01:30
5,Denver Nuggets,New Orleans Pelicans,17,23,30,18,21,29,32,25,31.03. 03:00
6,Golden State Warriors,New Orleans Pelicans,25,21,39,35,36,27,26,20,29.03. 03:00
7,Portland Trail Blazers,New Orleans Pelicans,14,21,20,35,34,24,31,35,28.03. 03:00
8,Los Angeles Clippers,New Orleans Pelicans,26,30,29,25,37,31,31,32,26.03. 03:30
9,New Orleans Pelicans,Charlotte Hornets,37,25,26,27,24,33,24,15,24.03. 01:00
10,New Orleans Pelicans,San Antonio Spurs,27,37,27,28,16,23,26,19,22.03. 01:00
11,Houston Rockets,New Orleans Pelicans,28,16,34,29,38,26,28,25,20.03. 00:00
12,Houston Rockets,New Orleans Pelicans,31,18,31,34,26,28,36,22,18.03. 01:00
13,New Orleans Pelicans,Los Angeles Lakers,24,16,35,33,39,36,23,25,15.03. 01:00
14,New Orleans Pelicans,Portland Trail Blazers,42,32,35,18,25,29,19,37,13.03. 00:00
15,New Orleans Pelicans,Oklahoma City Thunder,22,22,28,24,32,31,24,23,12.03. 02:30
16,New Orleans Pelicans,Dallas Mavericks,24,35,24,30,24,19,22,41,09.03. 01:30
17,Sacramento Kings,New Orleans Pelicans,29,30,38,26,32,27,20,29,07.03. 04:00
18,Golden State Warriors,New Orleans Pelicans,21,33,28,26,35,22,21,21,04.03. 04:00
19,Portland Trail Blazers,New Orleans Pelicans,31,25,35,19,29,24,37,31,02.03. 04:00
20,New Orleans Pelicans,Orlando Magic,25,24,25,19,36,14,29,22,28.02. 02:00
21,New York Knicks,New Orleans Pelicans,42,31,29,26,26,26,30,24,26.02. 01:30
22,Toronto Raptors,New Orleans Pelicans,23,31,38,23,19,26,32,33,24.02. 01:30
23,Los Angeles Lakers,New Orleans Pelicans,38,17,34,31,25,26,24,27,16.02. 04:00
24,Oklahoma City Thunder,New Orleans Pelicans,25,26,22,27,33,27,16,27,14.02. 02:00
25,New Orleans Pelicans,Cleveland Cavaliers,28,28,26,25,38,35,28,17,11.02. 04:00
26,New Orleans Pelicans,Atlanta Hawks,33,29,29,25,35,24,22,26,08.02. 01:30
27,New Orleans Pelicans,Sacramento Kings,34,36,34,32,26,26,24,28,06.02. 01:00
28,New Orleans Pelicans,Los Angeles Lakers,30,31,42,28,32,40,34,20,05.02. 00:00
29,Dallas Mavericks,New Orleans Pelicans,40,30,25,16,22,21,33,30,03.02. 02:30
