,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Phoenix Suns,Los Angeles Clippers,28,25,33,28,19,29,34,37,09.04. 20:30
1,Los Angeles Lakers,Phoenix Suns,30,31,35,25,34,28,27,18,08.04. 03:30
2,Phoenix Suns,Denver Nuggets,27,29,33,30,25,30,31,29,07.04. 03:00
3,Phoenix Suns,San Antonio Spurs,42,27,28,18,25,26,25,18,05.04. 03:00
4,Oklahoma City Thunder,Phoenix Suns,27,28,34,29,27,42,29,30,03.04. 00:00
5,Phoenix Suns,Denver Nuggets,32,28,24,16,20,20,34,19,01.04. 03:30
6,Phoenix Suns,Minnesota Timberwolves,25,23,33,26,24,27,23,26,30.03. 03:00
7,Utah Jazz,Phoenix Suns,26,26,29,22,37,20,27,33,28.03. 02:00
8,Phoenix Suns,Philadelphia 76ers,26,32,31,36,24,29,30,22,26.03. 03:00
9,Sacramento Kings,Phoenix Suns,24,32,45,34,30,37,26,34,25.03. 03:00
10,Los Angeles Lakers,Phoenix Suns,23,36,29,34,26,26,33,26,23.03. 03:00
11,Oklahoma City Thunder,Phoenix Suns,25,32,33,34,31,38,27,24,19.03. 20:30
12,Phoenix Suns,Orlando Magic,30,33,31,22,31,27,27,28,17.03. 03:00
13,Phoenix Suns,Milwaukee Bucks,24,24,36,20,29,28,28,31,15.03. 03:00
14,Golden State Warriors,Phoenix Suns,43,32,23,25,21,37,30,24,14.03. 03:00
15,Phoenix Suns,Sacramento Kings,32,27,36,24,31,36,29,32,12.03. 03:00
16,Phoenix Suns,Oklahoma City Thunder,34,26,44,28,21,31,28,21,09.03. 03:00
17,Dallas Mavericks,Phoenix Suns,25,37,33,31,31,28,37,34,05.03. 19:00
18,Chicago Bulls,Phoenix Suns,29,35,21,19,40,20,34,31,04.03. 02:00
19,Charlotte Hornets,Phoenix Suns,22,19,32,18,27,30,22,26,02.03. 01:00
20,Milwaukee Bucks,Phoenix Suns,33,20,22,29,26,20,28,27,26.02. 19:00
21,Phoenix Suns,Oklahoma City Thunder,29,36,29,30,30,30,27,28,25.02. 04:00
22,Phoenix Suns,Los Angeles Clippers,23,29,32,23,28,26,37,25,17.02. 04:00
23,Phoenix Suns,Sacramento Kings,27,35,28,30,29,29,28,23,15.02. 03:00
24,Indiana Pacers,Phoenix Suns,24,23,30,27,30,30,35,22,11.02. 01:00
25,Atlanta Hawks,Phoenix Suns,36,20,37,23,22,25,28,32,10.02. 01:30
26,Brooklyn Nets,Phoenix Suns,25,26,30,31,24,33,30,29,08.02. 01:30
27,Detroit Pistons,Phoenix Suns,27,22,27,24,30,28,30,28,05.02. 01:00
28,Boston Celtics,Phoenix Suns,20,24,29,21,24,33,17,32,04.02. 01:30
29,Phoenix Suns,Atlanta Hawks,23,24,20,33,26,40,36,30,02.02. 04:00
30,Phoenix Suns,Toronto Raptors,31,31,20,32,28,25,31,22,31.01. 03:00
31,San Antonio Spurs,Phoenix Suns,26,22,28,34,33,22,32,23,"29.01. 02:00
AOT"
32,Phoenix Suns,Dallas Mavericks,32,16,21,26,32,22,22,23,27.01. 04:00
