,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Denver Nuggets,Sacramento Kings,26,33,24,26,43,24,14,14,09.04. 20:30
1,Sacramento Kings,Golden State Warriors,16,32,25,24,32,21,33,33,08.04. 03:00
2,Dallas Mavericks,Sacramento Kings,28,32,32,31,27,44,21,27,06.04. 01:30
3,New Orleans Pelicans,Sacramento Kings,22,32,26,23,25,40,31,25,05.04. 01:00
4,Sacramento Kings,San Antonio Spurs,30,28,34,31,32,31,33,27,"02.04. 23:00
AOT"
5,Portland Trail Blazers,Sacramento Kings,27,32,30,25,36,35,33,34,01.04. 03:00
6,Portland Trail Blazers,Sacramento Kings,20,26,18,16,19,31,33,37,30.03. 03:00
7,Sacramento Kings,Minnesota Timberwolves,25,33,27,30,34,23,29,33,28.03. 03:00
8,Sacramento Kings,Utah Jazz,32,23,35,31,26,35,17,35,26.03. 03:00
9,Sacramento Kings,Phoenix Suns,24,32,45,34,30,37,26,34,25.03. 03:00
10,Sacramento Kings,Boston Celtics,32,22,31,24,30,30,40,32,22.03. 03:00
11,Utah Jazz,Sacramento Kings,40,28,27,33,19,33,43,25,21.03. 02:00
12,Washington Wizards,Sacramento Kings,33,27,32,26,37,34,33,28,19.03. 01:00
13,Brooklyn Nets,Sacramento Kings,24,17,30,25,24,30,28,19,17.03. 00:30
14,Chicago Bulls,Sacramento Kings,30,28,22,34,25,23,37,32,16.03. 01:00
15,Sacramento Kings,Milwaukee Bucks,32,30,25,37,27,26,37,43,14.03. 03:00
16,Phoenix Suns,Sacramento Kings,32,27,36,24,31,36,29,32,12.03. 03:00
17,Sacramento Kings,New York Knicks,30,39,22,31,23,30,31,33,10.03. 04:00
18,Sacramento Kings,New Orleans Pelicans,29,30,38,26,32,27,20,29,07.03. 04:00
19,Sacramento Kings,Minnesota Timberwolves,30,34,38,32,36,38,31,33,05.03. 04:00
