,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
0,Dallas Mavericks,San Antonio Spurs,14,45,32,26,42,29,37,30,09.04. 20:30
1,San Antonio Spurs,Minnesota Timberwolves,35,33,23,40,35,45,39,32,08.04. 21:00
2,San Antonio Spurs,Portland Trail Blazers,32,37,29,31,37,24,39,27,07.04. 01:00
3,Phoenix Suns,San Antonio Spurs,42,27,28,18,25,26,25,18,05.04. 03:00
4,Sacramento Kings,San Antonio Spurs,30,28,34,31,32,31,33,27,"02.04. 23:00
AOT"
5,Golden State Warriors,San Antonio Spurs,23,31,33,43,26,25,37,27,01.04. 03:00
6,San Antonio Spurs,Utah Jazz,33,29,26,29,36,28,29,35,30.03. 01:00
7,Boston Celtics,San Antonio Spurs,30,38,28,41,32,26,19,16,26.03. 23:00
8,Washington Wizards,San Antonio Spurs,33,33,33,37,26,36,36,26,25.03. 00:00
9,Milwaukee Bucks,San Antonio Spurs,33,33,34,30,28,23,21,22,23.03. 01:00
10,New Orleans Pelicans,San Antonio Spurs,27,37,27,28,16,23,26,19,22.03. 01:00
11,San Antonio Spurs,Atlanta Hawks,34,27,39,26,40,43,20,15,19.03. 21:00
12,San Antonio Spurs,Memphis Grizzlies,35,34,24,16,26,20,35,28,"18.03. 01:00
AOT"
13,San Antonio Spurs,Dallas Mavericks,29,33,32,27,28,32,28,33,"16.03. 01:30
AOT"
14,San Antonio Spurs,Orlando Magic,38,29,31,34,29,32,28,25,15.03. 01:00
15,San Antonio Spurs,Oklahoma City Thunder,19,28,24,19,29,23,26,24,13.03. 00:00
16,San Antonio Spurs,Denver Nuggets,26,42,30,30,38,29,26,27,11.03. 02:00
17,Houston Rockets,San Antonio Spurs,38,35,35,34,24,39,24,23,06.03. 01:00
18,San Antonio Spurs,Houston Rockets,32,36,22,20,29,41,25,27,05.03. 02:00
19,San Antonio Spurs,Indiana Pacers,21,31,31,27,29,25,16,29,03.03. 02:30
20,Utah Jazz,San Antonio Spurs,30,18,25,21,32,18,21,31,01.03. 03:00
21,Utah Jazz,San Antonio Spurs,24,31,30,33,33,32,14,23,26.02. 03:00
22,Dallas Mavericks,San Antonio Spurs,34,40,25,43,26,37,27,26,24.02. 02:30
23,Charlotte Hornets,San Antonio Spurs,32,28,33,27,32,25,29,24,16.02. 01:00
24,Cleveland Cavaliers,San Antonio Spurs,34,31,26,26,19,30,32,28,14.02. 01:00
25,Atlanta Hawks,San Antonio Spurs,32,29,32,32,31,29,17,29,12.02. 01:30
26,Detroit Pistons,San Antonio Spurs,19,34,38,22,28,26,29,30,"11.02. 01:00
AOT"
27,Toronto Raptors,San Antonio Spurs,34,23,31,24,24,30,21,23,09.02. 01:30
28,Chicago Bulls,San Antonio Spurs,39,23,28,38,28,31,26,19,07.02. 02:00
29,San Antonio Spurs,Philadelphia 76ers,26,35,26,38,26,47,33,31,04.02. 02:00
30,San Antonio Spurs,Sacramento Kings,31,23,30,25,30,31,28,30,02.02. 02:00
31,San Antonio Spurs,Washington Wizards,36,19,32,19,30,33,35,29,31.01. 02:00
32,San Antonio Spurs,Phoenix Suns,26,22,28,34,33,22,32,23,"29.01. 02:00
AOT"
33,Los Angeles Clippers,San Antonio Spurs,41,37,26,34,25,32,24,19,27.01. 04:30
34,Los Angeles Lakers,San Antonio Spurs,25,28,28,32,30,24,28,22,26.01. 04:30
35,Portland Trail Blazers,San Antonio Spurs,40,34,45,28,38,36,27,26,24.01. 04:00
36,San Antonio Spurs,Los Angeles Clippers,36,36,23,31,41,24,33,33,21.01. 02:00
37,San Antonio Spurs,Brooklyn Nets,27,24,25,30,15,36,17,30,18.01. 02:00
38,San Antonio Spurs,Sacramento Kings,32,32,26,29,33,30,39,30,16.01. 01:00
39,San Antonio Spurs,Golden State Warriors,28,32,29,24,33,41,40,30,14.01. 01:30
40,Memphis Grizzlies,San Antonio Spurs,32,44,36,23,37,25,35,32,12.01. 02:00
41,Memphis Grizzlies,San Antonio Spurs,35,37,25,24,25,36,31,21,10.01. 02:00
42,San Antonio Spurs,Boston Celtics,30,27,32,27,33,35,25,28,08.01. 00:00
43,San Antonio Spurs,Detroit Pistons,31,20,35,35,28,20,28,33,07.01. 02:00
44,New York Knicks,San Antonio Spurs,39,23,32,23,29,26,34,25,05.01. 01:30
45,Brooklyn Nets,San Antonio Spurs,37,37,34,31,25,22,32,24,03.01. 01:30
46,San Antonio Spurs,Dallas Mavericks,30,34,29,32,32,36,35,23,01.01. 01:00
47,San Antonio Spurs,New York Knicks,38,26,28,30,29,24,26,36,30.12.2022
48,Oklahoma City Thunder,San Antonio Spurs,38,32,25,35,33,27,33,21,28.12.2022
49,San Antonio Spurs,Utah Jazz,31,32,33,30,26,30,26,40,27.12.2022
50,Orlando Magic,San Antonio Spurs,34,27,33,39,28,33,28,24,24.12.2022
51,New Orleans Pelicans,San Antonio Spurs,37,28,29,32,17,29,29,42,23.12.2022
52,Houston Rockets,San Antonio Spurs,28,34,14,29,35,25,32,32,20.12.2022
53,San Antonio Spurs,Miami Heat,28,27,29,17,25,27,28,31,17.12.2022
54,San Antonio Spurs,Portland Trail Blazers,28,29,32,23,39,34,24,31,15.12.2022
55,San Antonio Spurs,Cleveland Cavaliers,29,36,27,20,27,22,29,33,13.12.2022
56,Miami Heat,San Antonio Spurs,29,28,27,27,25,34,27,29,10.12.2022
57,San Antonio Spurs,Houston Rockets,24,27,39,28,29,25,23,32,09.12.2022
58,San Antonio Spurs,Phoenix Suns,30,11,30,24,35,36,35,27,04.12.2022
59,San Antonio Spurs,New Orleans Pelicans,24,28,19,28,26,23,32,36,03.12.2022
60,Oklahoma City Thunder,San Antonio Spurs,32,28,28,31,35,42,19,15,01.12.2022
61,San Antonio Spurs,Los Angeles Lakers,34,34,29,41,33,37,36,37,27.11.2022
62,San Antonio Spurs,Los Angeles Lakers,21,20,34,19,33,26,20,26,26.11.2022
63,San Antonio Spurs,New Orleans Pelicans,19,28,38,25,29,37,38,25,24.11.2022
